Section        Type             Brand            Name                   Price       Qty
electronics    phone            Samsung          Galaxy-A54             55000       3
electronics    phone            Samsung          Galaxy-S23-Ultra       120000      2
electronics    phone            Apple            iPhone-16              80000       4
electronics    phone            Apple            iPhone-SE              45000       6
electronics    phone            Xiaomi           Redmi-Note-12          20000       6
electronics    phone            Xiaomi           Mi-11-Ultra            70000       3
electronics    phone            OnePlus          Nord-CE-3-Lite         25000       5
electronics    phone            OnePlus          11-Pro                 80000       2
electronics    phone            Google           Pixel-7                60000       4
electronics    phone            Google           Pixel-6a               45000       7
electronics    phone            Motorola         Edge-40                40000       5
electronics    phone            Motorola         G52                    25000       8
electronics    tablet           Apple            iPad-Air               60000       5
electronics    tablet           Apple            iPad-Mini              45000       3
electronics    tablet           Samsung          Galaxy-Tab-S8          45000       4
electronics    tablet           Samsung          Galaxy-Tab-A8          20000       6
electronics    tablet           Lenovo           Tab-P11                30000       6
electronics    tablet           Lenovo           Yoga-Tab-13            45000       2
electronics    tablet           Amazon           Fire-HD-8              15000       10
electronics    tablet           Amazon           Fire-HD-10             20000       8
electronics    laptop           Dell             Inspiron-15            45000       6
electronics    laptop           Dell             XPS-13                 90000       3
electronics    laptop           HP               Pavilion-14            60000       8
electronics    laptop           HP               Envy-x360              75000       5
electronics    laptop           Asus             ZenBook-14             65000       3
electronics    laptop           Asus             VivoBook-15            40000       6
electronics    laptop           Acer             Swift-3                55000       5
electronics    laptop           Acer             Aspire-5               35000       4
electronics    laptop           Microsoft        Surface-Laptop-4       95000       3
electronics    laptop           Microsoft        Surface-Go             60000       6
electronics    laptop           Lenovo           ThinkPad-X1-Carbon     85000       5
electronics    laptop           Lenovo           Legion-5               70000       4
electronics    camera           Canon            EOS-M50                55000       2
electronics    camera           Canon            PowerShot-G7X          40000       3
electronics    camera           Nikon            D3500                  45000       2
electronics    camera           Nikon            Coolpix-P1000          65000       3
electronics    camera           Sony             Alpha-A7               85000       2
electronics    camera           Sony             ZV-E10                 70000       4
electronics    camera           Fujifilm         X-T4                   90000       2
electronics    camera           Fujifilm         Instax-Mini            7000        15
electronics    gaming-console   Sony             PlayStation-5          50000       5
electronics    gaming-console   Sony             PlayStation-4-Pro      30000       4
electronics    gaming-console   Microsoft        Xbox-Series-X          50000       3
electronics    gaming-console   Microsoft        Xbox-Series-S          30000       6
electronics    gaming-console   Nintendo         Switch-OLED            35000       8
electronics    gaming-console   Nintendo         Switch-Lite            25000       7
electronics    gaming-console   Sony             PlayStation-VR2        40000       2
electronics    gaming-console   Meta             Quest-2                30000       4
electronics    monitor          Samsung          Odyssey-G5             32000       6
electronics    monitor          Samsung          Curved-27"             18000       7
electronics    monitor          LG               UltraWide-34"          35000       4
electronics    monitor          LG               4K-UHD-Monitor         40000       3
electronics    monitor          Dell             U2720Q                 45000       5
electronics    monitor          Dell             S2721QS                35000       2
electronics    monitor          Acer             Predator               60000       3
electronics    monitor          Asus             ROG-Swift              70000       4
electronics    smartwatch       Apple            Watch-Series-9         42000       3
electronics    smartwatch       Apple            Watch-SE               25000       6
electronics    smartwatch       Samsung          Galaxy-Watch-5         30000       4
electronics    smartwatch       Samsung          Galaxy-Watch-Active-2  20000       8
electronics    smartwatch       Fitbit           Versa-3                15000       10
electronics    smartwatch       Fitbit           Inspire-2              10000       15
electronics    smartwatch       Garmin           Forerunner-245         25000       5
electronics    smartwatch       Garmin           Fenix-6                50000       3
electronics    speaker          JBL              Charge-4               10000       7
electronics    speaker          JBL              Flip-5                 8000        5
electronics    speaker          Sony             SRS-XB43               15000       4
electronics    speaker          Sony             SRS-XB13               6000        8
electronics    speaker          Bose             SoundLink              18000       5
electronics    speaker          Bose             Home-Speaker-500       25000       3
electronics    speaker          Marshall         Emberton               20000       3
electronics    speaker          Marshall         Acton-II               30000       2
electronics    speaker          Amazon           Echo-Dot               4000        10
electronics    speaker          Google           Nest-Audio             8000        7
electronics    headphones       Sony             WH-1000XM4             25000       4
electronics    headphones       Sony             WF-1000XM4             18000       3
electronics    headphones       Bose             QuietComfort-45        28000       3
electronics    headphones       Bose             SoundSport             20000       4
electronics    headphones       JBL              Tune-750BT             5000        9
electronics    headphones       JBL              Live-660NC             10000       7
electronics    headphones       Sennheiser       HD-450BT               15000       2
electronics    headphones       Sennheiser       CX-Plus                12000       6
electronics    headphones       Apple            AirPods-Pro            22000       10
electronics    headphones       Apple            AirPods-Max            55000       2
electronics    headphones       Skullcandy       Crusher                15000       3
electronics    headphones       Skullcandy       Indy-Evo               8000        5
grocery        vegetable        Fresh-Farm       Tomatoes               40          15
grocery        vegetable        Fresh-Farm       Spinach                35          12
grocery        vegetable        Organic-Valley   Broccoli               50          10
grocery        vegetable        Organic-Valley   Cauliflower            45          18
grocery        vegetable        Nature's-Basket  Carrots                30          20
grocery        vegetable        Nature's-Basket  Potatoes               25          25
grocery        vegetable        Farmer's-Choice  Bell-Peppers           60          15
grocery        vegetable        Farmer's-Choice  Cucumbers              30          20
grocery        snack            Lay's            Classic-Chips          20          25
grocery        snack            Lay's            Salt-&-Vinegar         25          20
grocery        snack            Pringles         Sour-Cream-&-Onion     150         8
grocery        snack            Pringles         BBQ                    150         10
